,EVENT_DATE,EVENT_CD,VH_ID,ROUTE_ID,RUN_DIST,STATION_ORD,BUS_RUN_CNT,ROUTE_RUN_CNT
529,19/05/31 07:14:05,17,7996027,405130001,19376,17,1,2
4168,19/05/31 07:14:52,18,7996027,405130001,19376,17,1,2
5171,19/05/31 06:57:20,18,7996027,405130001,13395,11,1,2
6031,19/05/31 07:03:34,17,7996027,405130001,15673,14,1,2
20335,19/05/31 07:04:03,18,7996027,405130001,15673,14,1,2
21112,19/05/31 07:09:21,18,7996027,405130001,16831,15,1,2
25928,19/05/31 06:53:30,17,7996027,405130001,11483,10,1,2
29513,19/05/31 06:53:31,18,7996027,405130001,11483,10,1,2
34314,19/05/31 07:02:13,18,7996027,405130001,15122,13,1,2
37221,19/05/31 06:57:55,17,7996027,405130001,13889,12,1,2
39425,19/05/31 07:12:44,17,7996027,405130001,18591,16,1,2
42087,19/05/31 07:06:56,17,7996027,405130001,16831,15,1,2
44498,19/05/31 06:58:47,18,7996027,405130001,13889,12,1,2
44880,19/05/31 07:01:33,17,7996027,405130001,15122,13,1,2
47740,19/05/31 06:56:50,17,7996027,405130001,13395,11,1,2
53703,19/05/31 07:13:11,18,7996027,405130001,18591,16,1,2
172827,19/05/31 06:41:00,17,7996027,405130001,8101,7,1,2
174823,19/05/31 06:24:31,18,7996027,405130001,0,1,1,2
174854,19/05/31 06:25:10,18,7996027,405130001,0,1,1,2
174918,19/05/31 06:25:51,18,7996027,405130001,183,2,1,2
180845,19/05/31 06:48:25,18,7996027,405130001,9882,9,1,2
181961,19/05/31 06:24:34,17,7996027,405130001,0,1,1,2
182006,19/05/31 06:24:36,18,7996027,405130001,0,1,1,2
183617,19/05/31 06:41:35,18,7996027,405130001,8101,7,1,2
184329,19/05/31 06:47:36,17,7996027,405130001,9882,9,1,2
185598,19/05/31 06:24:39,17,7996027,405130001,0,1,1,2
192809,19/05/31 06:25:25,17,7996027,405130001,183,2,1,2
207505,19/05/31 06:30:15,18,7996027,405130001,2207,4,1,2
210782,19/05/31 06:27:01,17,7996027,405130001,1087,3,1,2
212660,19/05/31 06:45:10,17,7996027,405130001,9308,8,1,2
218041,19/05/31 06:27:45,18,7996027,405130001,1087,3,1,2
218169,19/05/31 06:29:43,17,7996027,405130001,2207,4,1,2
219114,19/05/31 06:38:51,17,7996027,405130001,7077,6,1,2
222140,19/05/31 06:33:58,17,7996027,405130001,4400,5,1,2
222175,19/05/31 06:33:59,18,7996027,405130001,4400,5,1,2
222679,19/05/31 06:38:52,18,7996027,405130001,7077,6,1,2
227059,19/05/31 06:45:43,18,7996027,405130001,9308,8,1,2
299387,19/05/31 07:35:56,18,7996027,405130001,31124,23,1,2
304578,19/05/31 07:23:38,17,7996027,405130001,24810,19,1,2
305224,19/05/31 07:27:42,18,7996027,405130001,27077,20,1,2
307167,19/05/31 07:17:20,17,7996027,405130001,21303,18,1,2
324405,19/05/31 07:37:31,17,7996027,405130001,32189,24,1,2
327653,19/05/31 07:35:45,17,7996027,405130001,31124,23,1,2
333507,19/05/31 07:27:31,17,7996027,405130001,27077,20,1,2
337372,19/05/31 07:29:42,17,7996027,405130001,28481,21,1,2
339153,19/05/31 07:17:55,18,7996027,405130001,21303,18,1,2
340027,19/05/31 07:23:51,18,7996027,405130001,24810,19,1,2
340924,19/05/31 07:29:43,18,7996027,405130001,28481,21,1,2
351999,19/05/31 07:32:41,17,7996027,405130001,29976,22,1,2
352109,19/05/31 07:33:24,18,7996027,405130001,29976,22,1,2
