,EVENT_DATE,EVENT_CD,VH_ID,ROUTE_ID,RUN_DIST,STATION_ORD,BUS_RUN_CNT,ROUTE_RUN_CNT
3416,19/05/31 07:09:56,17,7983685,405131202,0,1,1,3
39048,19/05/31 07:10:10,18,7983685,405131202,0,1,1,3
3732,19/05/31 07:12:06,17,7983685,405131202,949,2,1,3
21556,19/05/31 07:12:14,18,7983685,405131202,949,2,1,3
28647,19/05/31 07:12:16,17,7983685,405131202,1016,3,1,3
21614,19/05/31 07:12:37,18,7983685,405131202,1016,3,1,3
7722,19/05/31 07:14:55,17,7983685,405131202,1408,4,1,3
11164,19/05/31 07:14:56,18,7983685,405131202,1408,4,1,3
303420,19/05/31 07:15:49,17,7983685,405131202,1702,5,1,3
299929,19/05/31 07:16:08,18,7983685,405131202,1702,5,1,3
321237,19/05/31 07:16:39,17,7983685,405131202,2109,6,1,3
346075,19/05/31 07:16:50,18,7983685,405131202,2109,6,1,3
328400,19/05/31 07:17:06,17,7983685,405131202,2358,7,1,3
331937,19/05/31 07:17:07,18,7983685,405131202,2358,7,1,3
335511,19/05/31 07:17:31,17,7983685,405131202,2568,8,1,3
342711,19/05/31 07:17:57,18,7983685,405131202,2568,8,1,3
300253,19/05/31 07:18:03,17,7983685,405131202,2795,9,1,3
307283,19/05/31 07:18:04,18,7983685,405131202,2795,9,1,3
307399,19/05/31 07:18:48,17,7983685,405131202,3232,10,1,3
318078,19/05/31 07:18:52,18,7983685,405131202,3232,10,1,3
321628,19/05/31 07:19:16,17,7983685,405131202,3614,11,1,3
321666,19/05/31 07:19:17,18,7983685,405131202,3614,11,1,3
307597,19/05/31 07:19:58,17,7983685,405131202,4015,12,1,3
342992,19/05/31 07:20:10,18,7983685,405131202,4015,12,1,3
307706,19/05/31 07:20:42,17,7983685,405131202,4446,13,1,3
343152,19/05/31 07:20:56,18,7983685,405131202,4446,13,1,3
321983,19/05/31 07:21:31,17,7983685,405131202,4831,14,1,3
314957,19/05/31 07:21:52,18,7983685,405131202,4831,14,1,3
311455,19/05/31 07:22:14,17,7983685,405131202,5173,15,1,3
350414,19/05/31 07:22:29,18,7983685,405131202,5173,15,1,3
339874,19/05/31 07:22:48,17,7983685,405131202,5491,16,1,3
300921,19/05/31 07:22:53,18,7983685,405131202,5491,16,1,3
311646,19/05/31 07:23:20,17,7983685,405131202,5839,17,1,3
315199,19/05/31 07:23:21,18,7983685,405131202,5839,17,1,3
343622,19/05/31 07:24:16,17,7983685,405131202,6490,18,1,3
322416,19/05/31 07:24:30,18,7983685,405131202,6490,18,1,3
333085,19/05/31 07:24:57,17,7983685,405131202,6929,19,1,3
343792,19/05/31 07:25:24,18,7983685,405131202,6929,19,1,3
308490,19/05/31 07:25:53,17,7983685,405131202,7270,20,1,3
308544,19/05/31 07:26:15,18,7983685,405131202,7270,20,1,3
308611,19/05/31 07:26:58,17,7983685,405131202,8034,21,1,3
305146,19/05/31 07:27:19,18,7983685,405131202,8034,21,1,3
319407,19/05/31 07:27:48,17,7983685,405131202,8780,22,1,3
322923,19/05/31 07:27:49,18,7983685,405131202,8780,22,1,3
326637,19/05/31 07:28:55,17,7983685,405131202,9503,23,1,3
330179,19/05/31 07:28:56,18,7983685,405131202,9503,23,1,3
301984,19/05/31 07:29:50,17,7983685,405131202,10152,24,1,3
305515,19/05/31 07:29:51,18,7983685,405131202,10152,24,1,3
327044,19/05/31 07:31:49,17,7983685,405131202,10810,25,1,3
341233,19/05/31 07:31:54,18,7983685,405131202,10810,25,1,3
312977,19/05/31 07:32:05,17,7983685,405131202,11112,26,1,3
316543,19/05/31 07:32:26,18,7983685,405131202,11112,26,1,3
348460,19/05/31 07:32:40,17,7983685,405131202,11320,27,1,3
323718,19/05/31 07:32:52,18,7983685,405131202,11320,27,1,3
323851,19/05/31 07:33:56,17,7983685,405131202,11670,28,1,3
334621,19/05/31 07:34:44,18,7983685,405131202,11670,28,1,3
334667,19/05/31 07:35:04,17,7983685,405131202,11964,29,1,3
341824,19/05/31 07:35:29,18,7983685,405131202,11964,29,1,3
320662,19/05/31 07:36:05,17,7983685,405131202,12555,30,1,3
324198,19/05/31 07:36:06,18,7983685,405131202,12555,30,1,3
310165,19/05/31 07:37:04,17,7983685,405131202,12809,31,1,3
320937,19/05/31 07:37:52,18,7983685,405131202,12809,31,1,3
99719,19/05/31 07:39:25,17,7983685,405131202,13133,32,1,3
75078,19/05/31 07:40:00,18,7983685,405131202,13133,32,1,3
85722,19/05/31 07:40:25,17,7983685,405131202,13475,33,1,3
57546,19/05/31 07:40:58,18,7983685,405131202,13475,33,1,3
61207,19/05/31 07:41:43,17,7983685,405131202,13816,34,1,3
86009,19/05/31 07:42:14,18,7983685,405131202,13816,34,1,3
64997,19/05/31 07:43:35,17,7983685,405131202,14358,35,1,3
103927,19/05/31 07:43:50,18,7983685,405131202,14358,35,1,3
96935,19/05/31 07:44:11,17,7983685,405131202,14708,36,1,3
61575,19/05/31 07:44:18,18,7983685,405131202,14708,36,1,3
111293,19/05/31 07:45:43,17,7983685,405131202,15216,37,1,3
83106,19/05/31 07:46:16,18,7983685,405131202,15216,37,1,3
93694,19/05/31 07:46:19,17,7983685,405131202,15313,38,1,3
97218,19/05/31 07:46:20,18,7983685,405131202,15313,38,1,3
90333,19/05/31 07:47:24,17,7983685,405131202,15558,39,1,3
100970,19/05/31 07:47:28,18,7983685,405131202,15558,39,1,3
90429,19/05/31 07:48:07,17,7983685,405131202,15944,40,1,3
93963,19/05/31 07:48:08,18,7983685,405131202,15944,40,1,3
62249,19/05/31 07:48:41,17,7983685,405131202,16152,41,1,3
65776,19/05/31 07:48:42,18,7983685,405131202,16152,41,1,3
87060,19/05/31 07:49:12,17,7983685,405131202,16538,42,1,3
90599,19/05/31 07:49:13,18,7983685,405131202,16538,42,1,3
101328,19/05/31 07:50:02,17,7983685,405131202,16803,43,1,3
104908,19/05/31 07:50:25,18,7983685,405131202,16803,43,1,3
83821,19/05/31 07:51:02,17,7983685,405131202,17284,44,1,3
73319,19/05/31 07:51:42,18,7983685,405131202,17284,44,1,3
87637,19/05/31 07:52:51,17,7983685,405131202,17690,45,1,3
91174,19/05/31 07:52:52,18,7983685,405131202,17690,45,1,3
81016,19/05/31 07:55:59,17,7983685,405131202,18185,46,1,3
67018,19/05/31 07:56:40,18,7983685,405131202,18185,46,1,3
67311,19/05/31 07:58:51,17,7983685,405131202,18532,47,1,3
85046,19/05/31 07:59:20,18,7983685,405131202,18532,47,1,3
64108,19/05/31 08:01:01,17,7983685,405131202,19111,48,1,3
234785,19/05/31 08:01:46,18,7983685,405131202,19111,48,1,3
245623,19/05/31 08:03:38,17,7983685,405131202,19494,49,1,3
249211,19/05/31 08:04:02,18,7983685,405131202,19494,49,1,3
245735,19/05/31 08:04:24,17,7983685,405131202,19747,50,1,3
245819,19/05/31 08:04:46,18,7983685,405131202,19747,50,1,3
260026,19/05/31 08:05:13,17,7983685,405131202,20076,51,1,3
263559,19/05/31 08:05:14,18,7983685,405131202,20076,51,1,3
232338,19/05/31 08:09:08,17,7983685,405131202,20773,52,1,3
253600,19/05/31 08:09:39,18,7983685,405131202,20773,52,1,3
278562,19/05/31 08:11:17,17,7983685,405131202,21460,53,1,3
271549,19/05/31 08:11:36,18,7983685,405131202,21460,53,1,3
261312,19/05/31 08:14:05,17,7983685,405131202,21990,54,1,3
275682,19/05/31 08:15:42,18,7983685,405131202,21990,54,1,3
229861,19/05/31 08:16:11,17,7983685,405131202,22425,55,1,3
247515,19/05/31 08:16:17,18,7983685,405131202,22425,55,1,3
247552,19/05/31 08:16:39,17,7983685,405131202,22775,56,1,3
254680,19/05/31 08:17:03,18,7983685,405131202,22775,56,1,3
258569,19/05/31 08:19:19,17,7983685,405131202,23233,57,1,3
283286,19/05/31 08:19:28,18,7983685,405131202,23233,57,1,3
251633,19/05/31 08:20:01,17,7983685,405131202,23882,58,1,3
255161,19/05/31 08:20:02,18,7983685,405131202,23882,58,1,3
280308,19/05/31 08:23:11,17,7983685,405131202,24512,59,1,3
280337,19/05/31 08:23:12,18,7983685,405131202,24512,59,1,3
252240,19/05/31 08:24:10,17,7983685,405131202,24839,60,1,3
259281,19/05/31 08:24:11,18,7983685,405131202,24839,60,1,3
227642,19/05/31 08:25:07,17,7983685,405131202,25243,61,1,3
273601,19/05/31 08:25:25,18,7983685,405131202,25243,61,1,3
156271,19/05/31 08:25:47,17,7983685,405131202,25478,62,1,3
124533,19/05/31 08:26:18,18,7983685,405131202,25478,62,1,3
131800,19/05/31 08:27:52,17,7983685,405131202,25994,63,1,3
160178,19/05/31 08:28:28,18,7983685,405131202,25994,63,1,3
160234,19/05/31 08:28:51,17,7983685,405131202,26310,64,1,3
124926,19/05/31 08:29:21,18,7983685,405131202,26310,64,1,3
128673,19/05/31 08:30:32,17,7983685,405131202,26645,65,1,3
160564,19/05/31 08:31:07,18,7983685,405131202,26645,65,1,3
139564,19/05/31 08:32:31,17,7983685,405131202,26974,66,1,3
160760,19/05/31 08:32:39,18,7983685,405131202,26974,66,1,3
125783,19/05/31 08:35:04,17,7983685,405131202,27433,67,1,3
118741,19/05/31 08:35:22,18,7983685,405131202,27433,67,1,3
154598,19/05/31 08:38:40,17,7983685,405131202,27914,68,1,3
122817,19/05/31 08:38:49,18,7983685,405131202,27914,68,1,3
151146,19/05/31 08:39:23,17,7983685,405131202,28284,69,1,3
165325,19/05/31 08:39:29,18,7983685,405131202,28284,69,1,3
140674,19/05/31 08:40:05,17,7983685,405131202,28672,70,1,3
147775,19/05/31 08:40:28,18,7983685,405131202,28672,70,1,3
116114,19/05/31 08:41:23,17,7983685,405131202,29190,71,1,3
119650,19/05/31 08:41:24,18,7983685,405131202,29190,71,1,3
130478,19/05/31 08:43:01,17,7983685,405131202,29832,72,1,3
141087,19/05/31 08:43:05,18,7983685,405131202,29832,72,1,3
165836,19/05/31 08:43:15,17,7983685,405131202,30090,73,1,3
1615265,19/05/31 17:58:20,17,7983685,405131202,26645,65,6,3
1622440,19/05/31 17:58:48,18,7983685,405131202,26645,65,6,3
1636821,19/05/31 18:00:08,17,7983685,405131202,26974,66,6,3
1622672,19/05/31 18:00:26,18,7983685,405131202,26974,66,6,3
1605312,19/05/31 18:03:09,17,7983685,405131202,27433,67,6,3
1644360,19/05/31 18:03:24,18,7983685,405131202,27433,67,6,3
1343620,19/05/31 18:06:36,17,7983685,405131202,27914,68,6,3
1361315,19/05/31 18:06:43,18,7983685,405131202,27914,68,6,3
1333132,19/05/31 18:07:22,17,7983685,405131202,28284,69,6,3
1318978,19/05/31 18:07:39,18,7983685,405131202,28284,69,6,3
1354478,19/05/31 18:08:20,17,7983685,405131202,28672,70,6,3
1372166,19/05/31 18:08:27,18,7983685,405131202,28672,70,6,3
1365181,19/05/31 18:09:12,17,7983685,405131202,29190,71,6,3
1322790,19/05/31 18:09:19,18,7983685,405131202,29190,71,6,3
1333499,19/05/31 18:10:14,17,7983685,405131202,29832,72,6,3
1372437,19/05/31 18:10:31,18,7983685,405131202,29832,72,6,3
1354807,19/05/31 18:10:49,17,7983685,405131202,30090,73,6,3
